@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
210,'2023/06/14 11:01:15:875',7,709,716,715,637,712,717,677,720,712,718,693,669,0.11859,0.178717,0.414055
211,'2023/06/14 11:01:15:882',7,709,716,715,635,712,718,676,720,712,716,693,667,0.11859,0.178717,0.414055
212,'2023/06/14 11:01:15:892',7,708,716,715,639,712,717,678,720,711,717,694,669,0.11859,0.178717,0.414055
213,'2023/06/14 11:01:15:901',7,708,716,715,639,712,717,678,720,711,717,694,669,0.11859,0.178717,0.414055
214,'2023/06/14 11:01:15:913',7,708,715,715,639,712,717,677,720,711,717,694,669,0.11859,0.178717,0.414055
215,'2023/06/14 11:01:15:922',7,708,715,715,639,712,717,677,720,711,717,694,669,0.11859,0.178717,0.414055
216,'2023/06/14 11:01:15:932',7,708,716,715,636,712,718,677,720,711,717,694,668,0.11859,0.178717,0.414055
217,'2023/06/14 11:01:15:943',7,709,716,715,636,712,718,676,719,712,717,694,668,0.11859,0.178717,0.414055
218,'2023/06/14 11:01:15:951',7,710,715,715,638,712,717,678,720,712,718,693,670,0.11859,0.178717,0.414055
219,'2023/06/14 11:01:15:961',7,708,715,715,634,712,718,676,720,712,717,693,667,0.11859,0.178717,0.414055
220,'2023/06/14 11:01:15:973',7,709,716,715,638,712,718,678,720,711,718,694,669,0.11859,0.178717,0.414055
221,'2023/06/14 11:01:15:983',7,709,716,715,638,712,718,678,720,711,718,694,669,0.11859,0.178717,0.414055
222,'2023/06/14 11:01:15:992',7,709,716,715,637,712,718,677,719,711,717,694,669,0.11859,0.178717,0.414055
223,'2023/06/14 11:01:16:002',7,709,716,715,637,712,718,677,719,711,717,694,669,0.11859,0.178717,0.414055
224,'2023/06/14 11:01:16:014',7,709,716,715,637,712,718,677,720,712,718,694,668,0.11859,0.178717,0.414055
225,'2023/06/14 11:01:16:021',7,709,716,715,634,712,717,676,720,711,717,693,667,0.11859,0.178717,0.414055
226,'2023/06/14 11:01:16:032',7,709,716,715,639,712,717,678,720,712,717,693,670,0.11859,0.178717,0.414055
227,'2023/06/14 11:01:16:041',7,708,716,715,635,712,718,676,720,712,717,693,667,0.11859,0.178717,0.414055
228,'2023/06/14 11:01:16:054',7,709,716,715,638,712,718,677,720,712,717,694,669,0.11859,0.178717,0.414055
229,'2023/06/14 11:01:16:062',7,709,716,715,638,712,718,677,720,712,717,694,669,0.11859,0.178717,0.414055
230,'2023/06/14 11:01:16:071',7,710,716,715,637,712,717,677,720,711,717,693,669,0.11859,0.178717,0.414055
231,'2023/06/14 11:01:16:083',7,708,716,715,635,712,718,676,720,712,717,693,668,0.11859,0.178717,0.414055
232,'2023/06/14 11:01:16:095',7,709,716,715,638,712,718,678,720,712,718,693,670,0.11859,0.178717,0.414055
233,'2023/06/14 11:01:16:102',7,709,716,715,634,712,717,676,720,712,716,693,668,0.11859,0.178717,0.414055
234,'2023/06/14 11:01:16:114',7,709,716,715,638,712,718,677,720,711,717,694,669,0.11859,0.178717,0.414055
235,'2023/06/14 11:01:16:122',7,709,716,715,636,712,717,677,720,712,717,693,668,0.11859,0.178717,0.414055
236,'2023/06/14 11:01:16:131',7,709,716,715,636,712,717,677,720,712,717,693,668,0.11859,0.178717,0.414055
237,'2023/06/14 11:01:16:141',7,708,715,715,636,712,717,676,720,711,717,694,668,0.11859,0.178717,0.414055
238,'2023/06/14 11:01:16:152',7,709,716,715,638,712,718,678,720,712,717,694,670,0.11859,0.178717,0.414055
239,'2023/06/14 11:01:16:161',7,708,716,715,634,712,718,676,719,712,717,693,667,0.11859,0.178717,0.414055
240,'2023/06/14 11:01:16:171',7,709,716,715,639,712,718,677,720,711,718,694,669,0.11859,0.178717,0.414055
241,'2023/06/14 11:01:16:182',7,709,716,715,634,712,717,676,720,711,717,693,668,0.11859,0.178717,0.414055
242,'2023/06/14 11:01:16:192',7,709,716,715,634,712,717,676,720,711,717,693,668,0.11859,0.178717,0.414055
243,'2023/06/14 11:01:16:202',7,709,716,715,637,712,717,677,720,711,718,693,668,0.11859,0.178717,0.414055
244,'2023/06/14 11:01:16:212',7,708,716,715,637,712,718,677,720,711,718,694,669,0.11859,0.178717,0.414055
245,'2023/06/14 11:01:16:222',7,709,716,715,635,712,718,676,719,711,717,694,667,0.11859,0.178717,0.414055
246,'2023/06/14 11:01:16:232',7,709,716,715,639,712,717,678,720,712,717,694,669,0.11859,0.178717,0.414055
247,'2023/06/14 11:01:16:243',7,708,715,715,634,712,718,676,720,711,716,693,668,0.11859,0.178717,0.414055
248,'2023/06/14 11:01:16:252',7,708,715,715,634,712,718,676,720,711,716,693,668,0.11859,0.178717,0.414055
249,'2023/06/14 11:01:16:264',7,709,716,714,636,712,717,677,720,711,716,693,668,0.11859,0.178717,0.414055
250,'2023/06/14 11:01:16:272',7,709,716,714,636,712,717,677,720,711,716,693,668,0.11859,0.178717,0.414055
251,'2023/06/14 11:01:16:284',7,709,715,715,636,712,717,677,719,712,717,693,668,0.11859,0.178717,0.414055
252,'2023/06/14 11:01:16:292',7,709,716,715,638,712,717,678,720,712,718,694,669,0.11859,0.178717,0.414055
253,'2023/06/14 11:01:16:302',7,709,716,714,634,712,718,676,719,712,718,693,667,0.11859,0.178717,0.414055
254,'2023/06/14 11:01:16:313',7,709,716,715,638,713,718,678,720,712,718,694,669,0.11859,0.178717,0.414055
255,'2023/06/14 11:01:16:323',7,709,716,714,635,712,718,676,720,712,717,693,668,0.11859,0.178717,0.414055
256,'2023/06/14 11:01:16:331',7,709,716,714,635,712,718,676,720,712,717,693,668,0.11859,0.178717,0.414055
257,'2023/06/14 11:01:16:344',7,709,716,715,637,713,718,677,720,712,717,694,669,0.11859,0.178717,0.414055
258,'2023/06/14 11:01:16:352',7,709,716,715,637,713,718,677,720,712,717,694,669,0.11859,0.178717,0.414055
259,'2023/06/14 11:01:16:364',7,709,716,714,634,712,718,676,720,712,717,693,668,0.11859,0.178717,0.414055
260,'2023/06/14 11:01:16:372',7,710,716,715,639,712,718,677,720,712,718,693,670,0.11859,0.178717,0.414055
261,'2023/06/14 11:01:16:382',7,710,716,715,639,712,718,677,720,712,718,693,670,0.11859,0.178717,0.414055
262,'2023/06/14 11:01:16:394',7,709,716,715,638,712,718,677,720,712,718,694,669,0.11859,0.178717,0.414055
263,'2023/06/14 11:01:16:401',7,709,716,715,638,712,718,677,720,712,718,694,669,0.11859,0.178717,0.414055
264,'2023/06/14 11:01:16:413',7,709,716,715,636,712,717,677,720,711,717,693,669,0.11859,0.178717,0.414055
265,'2023/06/14 11:01:16:422',7,709,716,715,635,712,718,676,719,711,717,694,667,0.11859,0.178717,0.414055
266,'2023/06/14 11:01:16:432',7,709,716,715,638,713,718,678,720,712,718,694,670,0.11859,0.178717,0.414055
267,'2023/06/14 11:01:16:442',7,709,716,714,634,712,717,676,720,711,716,693,668,0.11859,0.178717,0.414055
268,'2023/06/14 11:01:16:452',7,709,716,715,638,712,718,677,720,712,717,693,669,0.11859,0.178717,0.414055
269,'2023/06/14 11:01:16:463',7,709,716,715,638,712,718,677,720,712,717,693,669,0.11859,0.178717,0.414055
270,'2023/06/14 11:01:16:471',7,709,716,714,635,712,718,676,720,712,717,693,668,0.11859,0.178717,0.414055
271,'2023/06/14 11:01:16:483',7,709,716,714,636,712,718,676,720,712,717,693,668,0.11859,0.178717,0.414055
272,'2023/06/14 11:01:16:492',7,708,716,715,637,712,718,678,720,712,718,694,669,0.11859,0.178717,0.414055
273,'2023/06/14 11:01:16:501',7,709,716,714,634,712,717,676,719,712,716,693,667,0.11859,0.178717,0.414055
274,'2023/06/14 11:01:16:513',7,709,716,715,638,712,717,678,720,712,717,694,670,0.11859,0.178717,0.414055
275,'2023/06/14 11:01:16:522',7,709,716,715,638,712,717,678,720,712,717,694,670,0.11859,0.178717,0.414055
276,'2023/06/14 11:01:16:533',7,709,716,715,637,712,718,677,720,711,718,694,668,0.11859,0.178717,0.414055
277,'2023/06/14 11:01:16:541',7,709,716,715,637,712,718,677,720,711,718,694,668,0.11859,0.178717,0.414055
278,'2023/06/14 11:01:16:552',7,709,716,714,636,712,718,677,720,712,718,693,669,0.11859,0.178717,0.414055
279,'2023/06/14 11:01:16:563',7,709,716,715,635,712,717,676,720,711,717,693,667,0.11859,0.178717,0.414055
280,'2023/06/14 11:01:16:573',7,709,716,715,639,712,718,678,720,711,717,695,668,0.11859,0.178717,0.414055
281,'2023/06/14 11:01:16:582',7,708,716,715,634,712,718,676,719,712,717,693,668,0.11859,0.178717,0.414055
282,'2023/06/14 11:01:16:594',7,709,716,715,638,712,718,677,719,711,718,693,669,0.11859,0.178717,0.414055
283,'2023/06/14 11:01:16:603',7,709,716,715,638,712,718,677,719,711,718,693,669,0.11859,0.178717,0.414055
284,'2023/06/14 11:01:16:611',7,709,716,715,636,712,718,677,719,711,717,692,669,0.11859,0.178717,0.414055
285,'2023/06/14 11:01:16:623',7,709,716,715,635,712,718,676,720,711,717,693,668,0.11859,0.178717,0.414055
286,'2023/06/14 11:01:16:631',7,709,716,715,638,712,717,678,720,712,718,693,670,0.11859,0.178717,0.414055
287,'2023/06/14 11:01:16:642',7,708,716,714,634,712,718,676,719,711,717,693,667,0.11859,0.178717,0.414055
288,'2023/06/14 11:01:16:652',7,708,716,714,634,712,718,676,719,711,717,693,667,0.11859,0.178717,0.414055
289,'2023/06/14 11:01:16:662',7,708,716,715,635,712,718,677,720,712,716,694,668,0.11859,0.178717,0.414055
290,'2023/06/14 11:01:16:672',7,708,716,715,635,712,718,677,720,712,716,694,668,0.11859,0.178717,0.414055
291,'2023/06/14 11:01:16:682',7,709,716,715,637,712,717,677,720,712,717,693,668,0.11859,0.178717,0.414055
292,'2023/06/14 11:01:16:691',7,709,716,715,637,712,717,678,720,711,718,694,668,0.11859,0.178717,0.414055
293,'2023/06/14 11:01:16:702',7,708,715,715,634,712,717,676,719,711,717,693,668,0.11859,0.178717,0.414055
294,'2023/06/14 11:01:16:713',7,709,716,715,638,712,717,678,720,711,717,694,670,0.11859,0.178717,0.414055
295,'2023/06/14 11:01:16:721',7,708,716,715,634,712,717,676,720,711,717,693,667,0.11859,0.178717,0.414055
296,'2023/06/14 11:01:16:733',7,708,716,715,634,712,717,676,720,711,717,693,667,0.11859,0.178717,0.414055
297,'2023/06/14 11:01:16:741',7,709,716,715,637,712,718,678,720,712,717,693,669,0.11859,0.178717,0.414055
298,'2023/06/14 11:01:21:933',8,708,716,715,593,712,718,688,720,711,717,694,673,0.136247,0.637797,0.635465
299,'2023/06/14 11:01:21:942',8,709,716,714,588,712,717,686,720,712,716,693,671,0.136247,0.637797,0.635465
300,'2023/06/14 11:01:21:952',8,709,716,715,594,712,718,688,720,712,718,694,673,0.136247,0.637797,0.635465
301,'2023/06/14 11:01:21:964',8,709,715,715,590,712,718,686,719,712,715,693,672,0.136247,0.637797,0.635465
302,'2023/06/14 11:01:21:972',8,709,716,715,592,712,718,687,720,711,718,694,673,0.136247,0.637797,0.635465
303,'2023/06/14 11:01:21:983',8,710,716,714,592,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
304,'2023/06/14 11:01:21:993',8,710,716,714,592,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
305,'2023/06/14 11:01:22:001',8,708,716,715,590,712,717,687,720,711,716,693,672,0.136247,0.637797,0.635465
306,'2023/06/14 11:01:22:013',8,710,716,715,594,712,718,688,720,712,718,694,674,0.136247,0.637797,0.635465
307,'2023/06/14 11:01:22:024',8,709,716,714,590,712,718,687,720,711,717,693,672,0.136247,0.637797,0.635465
308,'2023/06/14 11:01:22:032',8,708,716,715,594,712,717,688,720,711,717,694,673,0.136247,0.637797,0.635465
309,'2023/06/14 11:01:22:045',8,708,716,715,591,712,717,687,719,712,716,694,672,0.136247,0.637797,0.635465
310,'2023/06/14 11:01:22:052',8,708,716,715,591,712,717,687,719,712,716,694,672,0.136247,0.637797,0.635465
311,'2023/06/14 11:01:22:065',8,710,716,715,594,712,718,688,720,711,718,693,673,0.136247,0.637797,0.635465
312,'2023/06/14 11:01:22:072',8,710,716,715,594,712,718,688,720,711,718,693,673,0.136247,0.637797,0.635465
313,'2023/06/14 11:01:22:082',8,709,716,714,589,712,718,686,719,712,717,693,672,0.136247,0.637797,0.635465
314,'2023/06/14 11:01:22:092',8,709,716,715,594,712,718,688,720,712,717,694,673,0.136247,0.637797,0.635465
315,'2023/06/14 11:01:22:102',8,709,716,715,590,712,718,687,720,711,717,693,672,0.136247,0.637797,0.635465
316,'2023/06/14 11:01:22:113',8,709,716,715,592,712,718,687,719,712,717,694,672,0.136247,0.637797,0.635465
317,'2023/06/14 11:01:22:121',8,709,716,715,592,712,718,687,719,712,717,694,672,0.136247,0.637797,0.635465
318,'2023/06/14 11:01:22:134',8,709,716,714,593,712,718,688,720,712,717,693,673,0.136247,0.637797,0.635465
319,'2023/06/14 11:01:22:142',8,710,716,714,589,712,718,686,720,712,717,692,672,0.136247,0.637797,0.635465
320,'2023/06/14 11:01:22:152',8,709,716,715,594,712,718,688,720,712,718,694,673,0.136247,0.637797,0.635465
321,'2023/06/14 11:01:22:163',8,708,716,715,590,712,717,686,720,711,716,693,672,0.136247,0.637797,0.635465
322,'2023/06/14 11:01:22:172',8,708,716,715,594,712,717,688,720,711,717,694,673,0.136247,0.637797,0.635465
323,'2023/06/14 11:01:22:183',8,708,716,715,594,712,717,688,720,711,717,694,673,0.136247,0.637797,0.635465
324,'2023/06/14 11:01:22:193',8,709,716,715,590,712,718,686,720,711,717,693,672,0.136247,0.637797,0.635465
325,'2023/06/14 11:01:22:203',8,709,716,715,590,712,718,686,720,711,717,693,672,0.136247,0.637797,0.635465
326,'2023/06/14 11:01:22:212',8,709,717,715,594,712,718,688,720,712,717,694,674,0.136247,0.637797,0.635465
327,'2023/06/14 11:01:22:223',8,709,716,715,589,712,717,686,719,712,717,693,671,0.136247,0.637797,0.635465
328,'2023/06/14 11:01:22:233',8,708,716,715,594,712,717,688,720,711,718,694,673,0.136247,0.637797,0.635465
329,'2023/06/14 11:01:22:242',8,709,716,715,591,712,717,687,720,711,717,693,673,0.136247,0.637797,0.635465
330,'2023/06/14 11:01:22:254',8,708,716,714,591,712,717,687,720,711,716,694,672,0.136247,0.637797,0.635465
331,'2023/06/14 11:01:22:262',8,708,716,714,591,712,717,687,720,711,716,694,672,0.136247,0.637797,0.635465
332,'2023/06/14 11:01:22:274',8,709,715,715,593,712,718,688,720,711,717,694,674,0.136247,0.637797,0.635465
333,'2023/06/14 11:01:22:283',8,709,716,714,589,712,717,686,720,711,717,693,672,0.136247,0.637797,0.635465
334,'2023/06/14 11:01:22:294',8,709,716,715,594,712,718,688,720,711,717,694,674,0.136247,0.637797,0.635465
335,'2023/06/14 11:01:22:302',8,709,716,714,590,712,717,686,720,711,717,693,673,0.136247,0.637797,0.635465
336,'2023/06/14 11:01:22:314',8,709,716,715,593,713,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
337,'2023/06/14 11:01:22:323',8,709,716,715,593,712,718,687,720,712,717,693,673,0.136247,0.637797,0.635465
338,'2023/06/14 11:01:22:332',8,709,716,715,593,712,718,687,720,712,717,693,673,0.136247,0.637797,0.635465
339,'2023/06/14 11:01:22:342',8,709,716,715,590,712,718,687,720,711,717,693,672,0.136247,0.637797,0.635465
340,'2023/06/14 11:01:22:352',8,710,716,714,595,713,717,688,720,712,717,694,674,0.136247,0.637797,0.635465
341,'2023/06/14 11:01:22:363',8,709,716,715,590,712,717,686,720,712,717,693,672,0.136247,0.637797,0.635465
342,'2023/06/14 11:01:22:373',8,709,716,715,594,712,717,688,720,712,717,694,673,0.136247,0.637797,0.635465
343,'2023/06/14 11:01:22:382',8,708,716,715,592,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
344,'2023/06/14 11:01:22:392',8,708,716,715,592,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
345,'2023/06/14 11:01:22:404',8,709,716,715,591,712,717,687,719,711,717,694,672,0.136247,0.637797,0.635465
346,'2023/06/14 11:01:22:413',8,708,716,715,594,712,717,688,720,712,717,694,674,0.136247,0.637797,0.635465
347,'2023/06/14 11:01:22:422',8,708,716,714,590,712,718,686,720,712,717,693,672,0.136247,0.637797,0.635465
348,'2023/06/14 11:01:22:432',8,709,716,715,595,712,718,687,720,712,717,694,673,0.136247,0.637797,0.635465
349,'2023/06/14 11:01:22:444',8,709,716,715,591,712,718,687,719,712,717,693,672,0.136247,0.637797,0.635465
350,'2023/06/14 11:01:22:451',8,709,716,715,591,712,718,687,719,712,717,693,672,0.136247,0.637797,0.635465
351,'2023/06/14 11:01:22:463',8,709,715,715,595,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
352,'2023/06/14 11:01:22:473',8,709,715,715,595,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
353,'2023/06/14 11:01:22:482',8,709,716,714,591,712,718,686,720,712,717,693,672,0.136247,0.637797,0.635465
354,'2023/06/14 11:01:22:494',8,708,716,715,596,712,717,688,720,712,717,694,673,0.136247,0.637797,0.635465
355,'2023/06/14 11:01:22:504',8,709,715,714,592,712,718,686,720,711,717,693,672,0.136247,0.637797,0.635465
356,'2023/06/14 11:01:22:512',8,709,716,714,596,712,717,687,720,711,717,693,673,0.136247,0.637797,0.635465
357,'2023/06/14 11:01:22:521',8,709,716,714,596,712,717,687,720,711,717,693,673,0.136247,0.637797,0.635465
358,'2023/06/14 11:01:22:532',8,709,716,715,594,712,718,687,720,712,717,693,673,0.136247,0.637797,0.635465
359,'2023/06/14 11:01:22:542',8,709,716,715,593,712,718,686,720,711,717,693,672,0.136247,0.637797,0.635465
360,'2023/06/14 11:01:22:554',8,709,716,715,597,712,717,688,720,711,718,694,673,0.136247,0.637797,0.635465
361,'2023/06/14 11:01:22:562',8,708,716,715,592,712,718,686,720,711,717,693,672,0.136247,0.637797,0.635465
362,'2023/06/14 11:01:22:573',8,708,716,715,596,712,717,688,720,711,718,694,673,0.136247,0.637797,0.635465
363,'2023/06/14 11:01:22:586',8,708,716,715,593,712,717,686,719,711,717,693,673,0.136247,0.637797,0.635465
364,'2023/06/14 11:01:22:592',8,708,716,715,594,712,717,687,719,712,717,694,673,0.136247,0.637797,0.635465
365,'2023/06/14 11:01:22:602',8,708,716,715,594,712,717,687,719,712,717,694,673,0.136247,0.637797,0.635465
366,'2023/06/14 11:01:22:614',8,709,716,715,596,712,717,688,720,712,717,693,674,0.136247,0.637797,0.635465
367,'2023/06/14 11:01:22:622',8,708,716,715,592,712,717,686,720,712,717,693,672,0.136247,0.637797,0.635465
368,'2023/06/14 11:01:22:633',8,709,716,715,597,712,717,688,720,711,718,694,674,0.136247,0.637797,0.635465
369,'2023/06/14 11:01:22:643',8,709,716,714,593,712,717,686,720,712,716,693,673,0.136247,0.637797,0.635465
370,'2023/06/14 11:01:22:652',8,709,715,714,595,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
371,'2023/06/14 11:01:22:662',8,709,715,714,595,712,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
372,'2023/06/14 11:01:22:673',8,708,716,714,595,712,717,687,720,711,716,694,673,0.136247,0.637797,0.635465
373,'2023/06/14 11:01:22:682',8,709,716,714,592,712,717,686,720,711,716,694,672,0.136247,0.637797,0.635465
374,'2023/06/14 11:01:22:692',8,710,716,715,597,713,718,688,720,711,718,694,674,0.136247,0.637797,0.635465
375,'2023/06/14 11:01:22:702',8,709,716,714,592,712,718,686,719,712,717,693,672,0.136247,0.637797,0.635465
376,'2023/06/14 11:01:22:714',8,709,716,714,597,713,717,687,720,712,717,694,674,0.136247,0.637797,0.635465
377,'2023/06/14 11:01:22:722',8,709,716,715,594,712,718,687,720,712,717,693,673,0.136247,0.637797,0.635465
378,'2023/06/14 11:01:22:734',8,709,716,715,594,712,718,687,719,711,717,694,672,0.136247,0.637797,0.635465
379,'2023/06/14 11:01:22:742',8,709,716,715,594,712,718,687,719,711,717,694,672,0.136247,0.637797,0.635465
380,'2023/06/14 11:01:22:754',8,709,716,715,597,712,717,687,720,711,717,694,674,0.136247,0.637797,0.635465
381,'2023/06/14 11:01:22:763',8,709,716,715,592,712,718,686,719,712,717,693,672,0.136247,0.637797,0.635465
382,'2023/06/14 11:01:22:772',8,709,716,715,597,712,718,687,720,712,718,694,673,0.136247,0.637797,0.635465
383,'2023/06/14 11:01:22:782',8,708,716,715,593,712,718,687,720,711,717,693,673,0.136247,0.637797,0.635465
384,'2023/06/14 11:01:22:793',8,709,716,714,595,712,718,687,720,711,718,694,672,0.136247,0.637797,0.635465
385,'2023/06/14 11:01:22:802',8,709,716,714,595,712,718,687,720,711,718,694,672,0.136247,0.637797,0.635465
386,'2023/06/14 11:01:22:813',8,709,716,714,596,713,717,687,720,712,717,693,673,0.136247,0.637797,0.635465
387,'2023/06/14 11:01:22:823',8,709,716,715,592,712,718,686,720,711,716,693,672,0.136247,0.637797,0.635465
388,'2023/06/14 11:01:22:833',8,708,716,715,597,712,718,688,720,711,717,694,674,0.136247,0.637797,0.635465
389,'2023/06/14 11:01:22:843',8,708,715,715,592,712,717,686,719,712,716,693,672,0.136247,0.637797,0.635465
390,'2023/06/14 11:01:22:854',8,708,716,714,595,712,718,687,720,711,717,694,673,0.136247,0.637797,0.635465
391,'2023/06/14 11:01:22:864',8,709,716,714,594,712,718,687,720,711,717,693,673,0.136247,0.637797,0.635465
392,'2023/06/14 11:01:22:874',8,708,716,715,593,712,717,686,719,712,717,693,672,0.136247,0.637797,0.635465
393,'2023/06/14 11:01:22:882',8,708,716,715,593,712,717,686,719,712,717,693,672,0.136247,0.637797,0.635465
394,'2023/06/14 11:01:22:893',8,709,716,715,597,712,717,687,720,712,717,693,674,0.136247,0.637797,0.635465
395,'2023/06/14 11:01:22:902',8,708,716,715,592,712,717,686,720,711,717,693,672,0.136247,0.637797,0.635465
396,'2023/06/14 11:01:22:913',8,709,716,715,596,712,717,688,720,712,717,694,674,0.136247,0.637797,0.635465
397,'2023/06/14 11:01:22:923',8,709,716,715,593,712,718,686,720,712,716,693,673,0.136247,0.637797,0.635465
398,'2023/06/14 11:01:22:932',8,709,716,715,593,712,718,686,720,712,716,693,673,0.136247,0.637797,0.635465
399,'2023/06/14 11:01:22:942',8,709,716,715,596,712,718,688,720,712,717,694,674,0.136247,0.637797,0.635465
400,'2023/06/14 11:01:22:953',8,709,716,715,596,712,718,688,720,712,717,694,674,0.136247,0.637797,0.635465
401,'2023/06/14 11:01:22:963',8,709,716,714,592,712,718,686,720,712,717,693,672,0.136247,0.637797,0.635465
402,'2023/06/14 11:01:22:972',8,710,716,715,597,712,718,687,720,712,718,694,674,0.136247,0.637797,0.635465
403,'2023/06/14 11:01:22:984',8,709,716,714,593,712,717,686,720,711,716,694,672,0.136247,0.637797,0.635465
404,'2023/06/14 11:01:22:993',8,710,716,715,596,713,718,687,720,711,718,693,673,0.136247,0.637797,0.635465
405,'2023/06/14 11:01:23:003',8,709,716,715,595,712,718,687,720,711,717,694,673,0.136247,0.637797,0.635465
406,'2023/06/14 11:01:23:013',8,709,716,715,595,712,718,687,720,711,717,694,673,0.136247,0.637797,0.635465
407,'2023/06/14 11:01:23:024',8,708,715,715,593,712,717,686,720,711,716,694,672,0.136247,0.637797,0.635465
